word,difficulty
Abfahrt,2
Abfertigung,4
Abflug,3
Abflughalle,3
Abflugtafel,3
Abkürzung,3
Abreise,2
Abteil,3
Adapter,3
Allee,3
Altbauviertel,4
Altstadt,3
Ankerplatz,4
Ankunft,2
Ankunftshalle,3
Ankunftstafel,3
Anlegestelle,4
Anreise,2
Ansage,2
Anschluss,3
Anzeigetafel,3
Archipel,3
Atlas,3
Atoll,4
Attraktion,3
Aufzug,1
Ausfahrt,1
Ausflug,1
Ausgang,1
Ausland,1
Ausreise,3
Aussicht,2
Aussichtsplattform,4
Aussichtspunkt,3
Aussichtsturm,3
Ausweis,1
Auto,1
Autobahn,2
Autovermietung,3
Bach,2
Badehose,2
Badeort,1
Bahndamm,4
Bahnhof,2
Bahnhofsgebäude,3
Bahnhofshalle,3
Bahnsteig,3
Bahnübergang,4
Bargeld,1
Basar,3
Bauernhof,2
Baustelle,2
Beifahrer,2
Berg,1
Bergbahn,3
Berghütte,3
Bergkamm,4
Bergtour,2
Besichtigung,2
Bezirk,2
Bibliothek,2
Biergarten,3
Binnensee,3
Boot,1
Bootsfahrt,1
Bordkarte,4
Botschaft,4
Boulevard,3
Breitengrad,4
Brücke,2
Bucht,3
Buchung,2
Bundesland,3
Burgruine,4
Bus,1
Café,2
Campingplatz,3
Delta,3
Denkmal,3
Dom,3
Dorf,1
Dorfplatz,2
Durchgang,2
Durchsage,2
Düne,3
Ebene,3
Einbahnstraße,3
Einfahrt,1
Eingang,1
Einreise,3
Einreisestempel,4
Etappe,3
Fahrbahn,2
Fahrer,1
Fahrgast,2
Fahrgastbrücke,4
Fahrgemeinschaft,3
Fahrkarte,3
Fahrkartenautomat,3
Fahrkartenschalter,3
Fahrplan,3
Fahrrad,1
Fahrschein,1
Fahrstuhl,2
Fahrt,1
Fahrzeug,1
Feld,1
Fels,2
Felswand,3
Ferienhaus,3
Ferienwohnung,3
Fernweh,3
Festung,4
Fischerdorf,3
Fjord,4
Flachland,3
Flughafen,2
Flugreise,3
Flugsteig,4
