word,difficulty
Flugzeug,1
Fluss,1
Freizeitpark,2
Fremdwährung,3
Friedhof,3
Fundbüro,3
Fundsache,3
Fußgängerzone,3
Fähre,3
Führung,2
Gasse,2
Gasthaus,3
Gasthof,3
Gebirge,3
Gebirgsdorf,3
Gedenkstätte,4
Gegend,1
Geldautomat,2
Geldwechsel,3
Gemeinde,2
Gepäck,2
Gepäckannahme,3
Gepäckaufgabe,3
Gepäckband,4
Gepäckfach,3
Gepäckraum,3
Gepäckschein,4
Gepäckstück,3
Gepäckträger,3
Gepäckwaage,4
Gepäckwagen,4
Geröll,2
Geröllhang,4
Gewerbegebiet,4
Gezeiten,3
Gezeitenzone,4
Gipfel,3
Gleis,3
Gleiswechsel,4
Gletscher,4
Globus,2
Gondel,3
Grenze,2
Grenzgebiet,4
Grenzkontrolle,3
Grenzposten,4
Grenzstadt,3
Grenzübergang,4
Hafen,2
Hafenbecken,3
Halbinsel,2
Haltepunkt,4
Haltestelle,2
Handgepäck,2
Hang,3
Hauptstadt,2
Heide,2
Heimat,2
Helikopter,3
Herberge,2
Himmelsrichtung,3
Hinterland,4
Hochebene,2
Hochhaus,2
Hochland,2
Hochsee,3
Hochufer,3
Hotel,2
Höhle,3
Hügel,2
Hütte,2
Imbiss,2
Impfausweis,3
Industriegebiet,4
Informationsschalter,4
Informationszentrum,4
Inland,2
Innenstadt,1
Insel,2
Jugendherberge,3
Kai,4
Kajak,3
Kanal,1
Kanu,3
Kapelle,3
Kiesstrand,3
Kilometerstein,3
Kirche,2
Klamm,3
Klippe,4
Kloster,4
Koffer,3
Kofferanhänger,3
Kofferraum,2
Kompass,3
Konsulat,4
Kontrollpunkt,4
Koordinate,4
Krater,2
Kreditkarte,2
Kreisel,2
Kreisverkehr,3
Kreuzfahrt,2
Kreuzung,2
Kulturbeutel,3
Kurort,1
Kutsche,3
Küste,2
Küstenlinie,3
Ladegerät,2
Lagune,4
Land,1
Landbrücke,4
Landebahn,3
Landkarte,3
Landkreis,3
Landschaft,2
Landstrich,3
Landung,2
Landzunge,3
Leuchtturm,3
Liegewagen,4
Lokomotive,4
Längengrad,4
Mangrove,4
Marina,3
Markt,2
Markthalle,3
Marktplatz,3
Maut,3
Mautschein,4
Mautstation,4
Meer,1
Meerenge,4
Metropole,3
Mietwagen,3
Mitfahrgelegenheit,3
Mole,4
Moor,2
Moräne,4
Moschee,4
Motel,3
Motorrad,1
Museum,2
Nachtzug,3
Nationalpark,2
Naturpark,2
Naturreservat,4
Navigationsgerät,3
Notausgang,3
Notfall,1
Notfallnummer,3
Notruf,1
Oase,4
Oberleitung,5
Ort,1
Ortskern,4
Ortsschild,2
Panorama,3
Park,3
Parkhaus,3
Parkplatz,2
Pass,3
Passagier,3
Passkontrolle,3
Pause,1
Pension,3
Personalausweis,2
Pfad,3
Picknick,2
Picknickplatz,3
Pier,3
Plateau,2
Platz,2
Postamt,2
Postkarte,2
Promenade,3
Proviant,3
Quartier,4
Quelle,2
Quittung,2
Radtour,1
Rast,2
Rastplatz,3
Raststätte,3
Rathaus,2
Regenjacke,2
Regenponcho,3
Regenwald,3
Region,2
Reise,1
Reiseapotheke,3
Reisebeginn,3
Reisebericht,3
Reisebudget,3
Reisebüro,1
Reisedauer,3
Reiseende,3
Reisefieber,4
Reisefoto,3
Reiseführer,3
Reisegruppe,3
Reisehut,3
Reiseimpfung,3
Reisekasse,3
Reisekatalog,3
Reisekosten,3
Reiseleiter,3
Reisender,2
Reisepass,2
Reiseplan,3
Reisepolster,5
Reiseproviant,3
Reisetag,3
Reisetagebuch,3
Reisetasche,3
Reiseveranstalter,3
Reiseversicherung,3
Reisewarnung,4
Reisezeit,2
Reiseziel,2
Reservierung,3
Restaurant,2
Rettungsboot,4
Rettungsweste,4
Rezeption,3
Riff,4
Rollfeld,3
Rolltreppe,2
Route,3
Routenplaner,3
Routenwahl,4
Rucksack,3
Rummelplatz,3
Rundreise,2
Rücktritt,3
Sackgasse,2
Salzsee,3
Sandbank,3
Savanne,3
Schalter,2
Schalterhalle,4
Schiff,1
Schlafsaal,3
Schlafwagen,4
Schließfach,3
Schloss,3
Schlucht,4
Schneefeld,4
Schotterweg,3
Schranke,3
Schutzhütte,3
Schwimmbad,3
See,1
Sehenswürdigkeit,3
Seilbahn,3
Sicherheitsbereich,4
Sicherheitskontrolle,3
Siedlung,2
Signal,2
Sitzplatz,2
Sitzreservierung,4
Sonnencreme,1
Souvenir,3
Souvenirladen,3
Spaziergang,1
Speisewagen,4
Sperrgepäck,4
Spesen,3
Spur,2
Stadion,3
Stadt,1
Stadtführung,3
Stadtmauer,4
Stadtplan,3
Stadtrundgang,3
Stadtviertel,3
Standort,2
Start,1
Startbahn,3
Stau,1
Stausee,3
Steg,3
Steilküste,3
Steppe,2
Stopp,2
Stornierung,4
Stornogebühr,4
Strand,1
Strandbad,3
Strandkorb,3
Straße,1
Straßenbahn,2
Straßenkarte,3
Strecke,2
Streckennetz,4
Strömung,3
Synagoge,4
Tagesausflug,3
Tagesziel,4
Taiga,4
Tal,2
Tankstelle,2
Taxi,1
Tempel,4
Terminal,3
Theater,2
Touristeninformation,3
Transitbereich,4
Triebwagen,4
Trinkflasche,2
Trinkgeld,2
Trinkwasser,1
Tropenwald,3
Tropfsteinhöhle,4
Tundra,4
Tunnel,3
Ufer,2
Uferpromenade,3
Uferweg,3
Umland,2
Umleitung,3
Umsteigezeit,3
Umstieg,3
Universität,3
Unterführung,3
Unterkunft,3
Urlaub,1
Versicherungsschein,4
Verspätung,2
Vignette,3
Visum,3
Vorland,4
Vorort,3
Vorstadt,2
Vulkan,3
Waggon,4
Wahrzeichen,3
Wald,1
Waldweg,2
Wallfahrtsort,3
Wanderkarte,4
Wanderstiefel,2
Wanderung,1
Wanderweg,3
Wartehalle,3
Warteraum,3
Wasserfall,2
Wasserstraße,3
Watt,4
Wechselstube,3
Weckruf,3
Wegbeschreibung,3
Wegmarke,3
Wegweiser,3
Weiche,3
Wiese,1
Wildnis,2
Wintersportort,3
Wochenendreise,3
Wohnviertel,3
Wüste,3
Zeitverschiebung,3
Zelt,2
Zentrum,1
Ziel,1
Zimmer,1
Zimmerschlüssel,3
Zimmerservice,3
Zoll,3
Zollabfertigung,4
Zollbeamter,3
Zollstelle,4
Zoo,2
Zug,1
Zugfahrt,1
Zwischenlandung,4
Zwischenstopp,3
Überführung,3
Übergepäck,3
Übernachtung,2
