word,difficulty
Schlüsselkarte,4
Schlüsselkasten,3
Schminkspiegel,4
Schmutzfangmatte,5
Schnalle,4
Schneebesen,4
Schneidebrett,3
Schneidegabel,4
Schneidematte,4
Schnellhefter,4
Schnur,2
Schrank,1
Schraube,3
Schraubendreher,3
Schraubenschlüssel,3
Schreibblock,3
Schreibtisch,2
Schreibtischunterlage,3
Schublade,2
Schuh,1
Schuhcreme,4
Schuhlöffel,3
Schuhregal,4
Schwamm,3
Schwammrolle,5
Schwelle,4
Schöpflöffel,4
Schüssel,2
Schüsselset,3
Seife,1
Seifenschale,4
Seifenspender,3
Seil,3
Servierwagen,4
Serviette,2
Shampoo,3
Sicherung,4
Sicherungsautomat,4
Sieb,3
Socke,1
Sofa,3
Sonnenbrille,2
Sonnencreme,2
Spardose,2
Sparschäler,3
Spiegel,1
Spielstein,2
Spitzer,2
Sprühflasche,4
Spülbeckenstöpsel,4
Spülbürste,3
Spüle,2
Spülmaschine,3
Spülmittel,3
Stadtplan,3
Staubsauger,3
Staubtuch,3
Staubwedel,3
Steckdose,4
Stecker,3
Stecknadel,3
Stehlampe,3
Stempel,3
Stempelkissen,3
Steppdecke,4
Stiefel,2
Stift,1
Streichholz,2
Streichholzschachtel,4
Stromzähler,4
Stuhl,1
Tablett,3
Tasche,1
Taschenlampe,3
Taschenrechner,2
Taschentuch,1
Tasse,1
Tastatur,3
Tee,1
Teelicht,2
Teller,1
Teppich,3
Textmarker,3
Thermometer,3
Thermoskanne,3
Thermostat,4
Tintenkiller,4
Tintenpatrone,3
Tisch,1
Tischdecke,2
Tischvase,3
Toaster,3
Toilettenbürste,3
Toilettendeckel,4
Toilettenpapier,1
Tomate,1
Topf,2
Topfdeckel,2
Topflappen,3
Tortenplatte,2
Tortenschneider,4
Tragetasche,2
Trennblatt,3
Treppe,1
Trichter,4
Trinkflasche,2
Trittleiter,3
Tür,1
Türgriff,2
Türkeil,3
Türklingel,3
Türrahmen,3
Türspion,4
Türstopper,3
Tüte,1
Uhr,1
Unkraut,3
Unterhose,1
Unterlage,1
Unterlegscheibe,5
Untersetzer,3
Vase,2
Vasenuntersetzer,4
Ventilator,3
Verband,4
Verlängerungskabel,3
Verpackung,1
Verschluss,3
Vorhang,2
Vorhängeschloss,4
Vorratsdose,3
Vorratsglas,3
Waage,2
Waschbecken,2
Waschlappen,3
Waschmaschine,3
Waschmittel,3
Waschpulver,3
Wasserfarbe,2
Wasserflasche,2
Wasserhahn,2
Wasserkocher,3
Wasserwaage,4
Wasserzähler,4
Wattepad,4
Wattestäbchen,3
Wecker,3
Weichspüler,4
Werkzeug,3
Werkzeugkasten,4
Wischmopp,4
Wäscheklammer,3
Wäschekorb,3
Wäscheleine,4
Wäschestange,3
Wäscheständer,4
Würfelbecher,3
Zahnbürste,2
Zahnpasta,2
Zahnseide,3
Zange,3
Zeitung,3
Zettel,1
Zirkel,3
Zitrone,2
Zitronenpresse,3
Zollstock,3
Zucker,1
Zuckerstange,2
Öl,1
